ID,front/title,front/icon,front/description,back/title,back/icon,back/description
chinese-essencial-in-communication-3-record,唱片,,chàngpiàn,record,💿,他收藏了很多**唱片**。 (Tā shōucángle hěn duō **chàngpiàn**.) He collects many **record**s。
chinese-essencial-in-communication-3-old-fashioned,老式,,lǎoshì,old-fashioned,🕰️,这是一部**老式**电话。 (Zhè shì yī bù **lǎoshì** diànhuà.) This is an **old-fashioned** telephone。
chinese-essencial-in-communication-3-camera,照相机,,zhàoxiàngjī,camera,📸,我买了一台新**照相机**。 (Wǒ mǎile yī tái xīn **zhàoxiàngjī**.) I bought a new **camera**。
chinese-essencial-in-communication-3-complexion-face,脸色,,liǎnsè,"complexion, face",😔,"你的**脸色**不好。 (Nǐ de **liǎnsè** bù hǎo.) Your **complexion, face** is not good。"
chinese-essencial-in-communication-3-to-catch-a-cold,感冒,,gǎnmào,to catch a cold,🤧,我**感冒**了。 (Wǒ **gǎnmào** le.) I **to catch a cold**。
chinese-essencial-in-communication-3-serious,严重,,yánzhòng,serious,⚠️,他的病情很**严重**。 (Tā de bìngqíng hěn **yánzhòng**.) His illness is very **serious**。
chinese-essencial-in-communication-3-throat,嗓子,,sǎngzi,throat,🗣️,我**嗓子**疼。 (Wǒ **sǎngzi** téng.) My **throat** hurts。
chinese-essencial-in-communication-3-hurt,疼,,téng,hurt,🤕,我的头很**疼**。 (Wǒ de tóu hěn **téng**.) My head **hurt**s。
chinese-essencial-in-communication-3-to-have-a-fever,发烧,,fāshāo,to have a fever,🔥,他**发烧**了。 (Tā **fāshāo** le.) He **to have a fever**。
chinese-essencial-in-communication-3-to-register,挂号,,guà hào,to register,📋,我去看病需要**挂号**。 (Wǒ qù kànbìng xūyào **guà hào**.) I need **to register** to see a doctor。
chinese-essencial-in-communication-3-to-register,挂,,guà,to register,🏷️,你**挂**哪个医生？ (Nǐ **guà** nǎge yīshēng?) Which doctor do you **to register** for?
chinese-essencial-in-communication-3-section,科,,kē,section,🏥,请去内**科**。 (Qǐng qù nèi **kē**.) Please go to the internal **section**。
chinese-essencial-in-communication-3-internal-medicine,内科,,nèikē,internal medicine,🩺,我去看**内科**医生。 (Wǒ qù kàn **nèikē** yīshēng.) I am going to see an **internal medicine** doctor。
chinese-essencial-in-communication-3-surgical-department,外科,,wàikē,surgical department,🔪,他需要看**外科**。 (Tā xūyào kàn **wàikē**.) He needs to see the **surgical department**。
chinese-essencial-in-communication-3-head,头,,tóu,head,🧠,他摇了摇**头**。 (Tā yáole yáo **tóu**.) He shook his **head**。
chinese-essencial-in-communication-3-to-cough,咳嗽,,késou,to cough,🤧,请不要**咳嗽**。 (Qǐng bùyào **késou**.) Please don't **to cough**。
chinese-essencial-in-communication-3-to-measure,量,,liáng,to measure,📏,请**量**一下身高。 (Qǐng **liáng** yīxià shēngāo.) Please **to measure** the height。
chinese-essencial-in-communication-3-temperature,体温,,tǐwēn,temperature,🌡️,我的**体温**是 37 度。 (Wǒ de **tǐwēn** shì 37 dù.) My **temperature** is 37 degrees。
chinese-essencial-in-communication-3-to-take-medicine,吃药,,chī yào,to take medicine,💊,记得**吃药**。 (Jìde **chī yào**.) Remember **to take medicine**。
chinese-essencial-in-communication-3-medicine,药,,yào,medicine,🧪,这个**药**很有效。 (Zhège **yào** hěn yǒuxiào.) This **medicine** is very effective。
chinese-essencial-in-communication-3-measure-word,片,,piàn,(measure word),⬜,请给我三**片**面包。 (Qǐng gěi wǒ sān **piàn** miànbāo.) Please give me three **(measure word)**s of bread。
chinese-essencial-in-communication-3-antiphlogistic-drug,消炎药,,xiāoyán yào,antiphlogistic drug,🛡️,他服用了**消炎药**。 (Tā fúyòngle **xiāoyán yào**.) He took the **antiphlogistic drug**。
chinese-essencial-in-communication-3-to-get-inflamed,发炎,,fāyán,to get inflamed,🔴,你的喉咙**发炎**了。 (Nǐ de hóulóng **fāyán** le.) Your throat **to get inflamed**。
chinese-essencial-in-communication-3-effect,效果,,xiàoguǒ,effect,✨,治疗的**效果**很好。 (Zhìliáo de **xiàoguǒ** hěn hǎo.) The **effect** of the treatment is very good。
chinese-essencial-in-communication-3-western-medicine,西药,,xīyào,Western medicine,💊,**西药**见效快。 (**Xīyào** jiànxiào kuài.) **Western medicine** works quickly。
chinese-essencial-in-communication-3-traditional-chinese-medicine,中药,,zhōngyào,traditional Chinese medicine,🌿,我喜欢喝**中药**。 (Wǒ xǐhuān hē **zhōngyào**.) I like to drink **traditional Chinese medicine**。
chinese-essencial-in-communication-3-measure-word,粒,,lì,(measure word),🟡,一天吃三**粒**。 (Yī tiān chī sān **lì**.) Take three **(measure word)**s a day。
chinese-essencial-in-communication-3-before-meal,饭前,,fàn qián,before meal,🍽️,请在**饭前**休息。 (Qǐng zài **fàn qián** xiūxí.) Please rest **before meal**。
chinese-essencial-in-communication-3-please-come-in,请进,,qǐng jìn,please come in,🚪,**请进**！ (**Qǐng jìn**!) **Please come in**!
chinese-essencial-in-communication-3-come-into,进,,jìn,come into,➡️,他**进**房间了。 (Tā **jìn** fángjiān le.) He **come into** the room。
chinese-essencial-in-communication-3-to-clear-up,收拾,,shōushi,to clear up,🧹,我需要**收拾**房间。 (Wǒ xūyào **shōushi** fángjiān.) I need **to clear up** the room。
chinese-essencial-in-communication-3-to-wash,洗,,xǐ,to wash,🧼,我每天都**洗**澡。 (Wǒ měitiān dōu **xǐ** zǎo.) I **to wash** my body every day。
chinese-essencial-in-communication-3-to-sweep,打扫,,dǎsǎo,to sweep,🧽,我们一起**打扫**卫生。 (Wǒmen yīqǐ **dǎsǎo** wèishēng.) Let's **to sweep** up。
chinese-essencial-in-communication-3-to-wipe,擦,,cā,to wipe,🧤,请**擦**一下窗户。 (Qǐng **cā** yīxià chuānghù.) Please **to wipe** the window。
chinese-essencial-in-communication-3-floor,地板,,dìbǎn,floor,🏠,这个**地板**是木头的。 (Zhège **dìbǎn** shì mùtou de.) This **floor** is made of wood。
chinese-essencial-in-communication-3-to-take-a-photograph,摄影,,shèyǐng,to take a photograph,📷,他喜欢**摄影**。 (Tā xǐhuān **shèyǐng**.) He likes **to take a photograph**。
chinese-essencial-in-communication-3-to-play-tennis,打网球,,dǎ wǎngqiú,to play tennis,🎾,我**打网球**打得很好。 (Wǒ **dǎ wǎngqiú** dǎ de hěn hǎo.) I **to play tennis** very well。
chinese-essencial-in-communication-3-to-play,打,,dǎ,to play,🏏,你会**打**篮球吗？ (Nǐ huì **dǎ** lánqiú ma?) Can you **to play** basketball?
chinese-essencial-in-communication-3-tennis,网球,,wǎngqiú,tennis,🎽,**网球**比赛很有趣。 (**Wǎngqiú** bǐsài hěn yǒuqù.) **Tennis** matches are interesting。
chinese-essencial-in-communication-3-sport,运动,,yùndòng,sport,🏅,跑步是一项很好的**运动**。 (Pǎobù shì yī xiàng hěn hǎo de **yùndòng**.) Running is a very good **sport**。
chinese-essencial-in-communication-3-football,足球,,zúqiú,football,⚽,我们去看**足球**比赛。 (Wǒmen qù kàn **zúqiú** bǐsài.) We are going to watch a **football** game。
chinese-essencial-in-communication-3-often,经常,,jīngcháng,often,🔄,我**经常**去那里。 (Wǒ **jīngcháng** qù nàlǐ.) I **often** go there。
chinese-essencial-in-communication-3-to-play-football,踢足球,,tī zúqiú,to play football,🥅,孩子们在**踢足球**。 (Háizimen zài **tī zúqiú**.) The children are **to play football**。
chinese-essencial-in-communication-3-to-kick,踢,,tī,to kick,🦵,他用脚**踢**了一下。 (Tā yòng jiǎo **tī** le yīxià.) He **to kick**ed it with his foot。
chinese-essencial-in-communication-3-ball-game,球赛,,qiúsài,ball game,🏟️,我们去看**球赛**吧。 (Wǒmen qù kàn **qiúsài** ba.) Let's go watch a **ball game**。
chinese-essencial-in-communication-3-movie,电影,,diànyǐng,movie,🎬,我喜欢看恐怖**电影**。 (Wǒ xǐhuān kàn kǒngbù **diànyǐng**.) I like to watch horror **movie**s。
chinese-essencial-in-communication-3-to-perform,演,,yǎn,to perform,🎭,她**演**了一个重要的角色。 (Tā **yǎn**le yīgè zhòngyào de juésè.) She **to perform** an important role。
chinese-essencial-in-communication-3-seafood,海鲜,,hǎixiān,seafood,🦞,这里的**海鲜**很新鲜。 (Zhèlǐ de **hǎixiān** hěn xīnxian.) The **seafood** here is very fresh。
chinese-essencial-in-communication-3-rice-noodles,米线,,mǐxiàn,rice noodles,🍜,我点了一碗**米线**。 (Wǒ diǎnle yī wǎn **mǐxiàn**.) I ordered a bowl of **rice noodles**。
chinese-essencial-in-communication-3-snack,小吃,,xiǎochī,snack,🥨,我想尝尝当地的**小吃**。 (Wǒ xiǎng chángchang dāngdì de **xiǎochī**.) I want to try the local **snack**s。
chinese-essencial-in-communication-3-like-that-so,那么,,nàme,"like that, so",🤔,"他跑得**那么**快！ (Tā pǎo de **nàme** kuài!) He runs **like that, so** fast!"
chinese-essencial-in-communication-3-to-go-away-on-a-business-trip,出差,,chūchāi,to go away on a business trip,💼,我的爸爸经常**出差**。 (Wǒ de bàba jīngcháng **chūchāi**.) My father often **to go away on a business trip**。
chinese-essencial-in-communication-3-guangdong,广东,,Guǎngdōng,Guangdong,🇨🇳,他想去**广东**旅游。 (Tā xiǎng qù **Guǎngdōng** lǚyóu.) He wants to travel to **Guangdong**。
chinese-essencial-in-communication-3-yunnan,云南,,Yúnnán,Yunnan,🏞️,**云南**的气候很好。 (**Yúnnán** de qìhòu hěn hǎo.) The climate in **Yunnan** is very good。
chinese-essencial-in-communication-3-sichuan,四川,,Sìchuān,Sichuan,🐼,**四川**以辣闻名。 (**Sìchuān** yǐ là wénmíng.) **Sichuan** is famous for being spicy。
chinese-essencial-in-communication-3-all-along,从来,,cónglái,All along,🕰️,我**从来**没去过。 (Wǒ **cónglái** méi qùguò.) I have **all along** never been there。
chinese-essencial-in-communication-3-that-time,当时,,dāngshí,that time,📅,**当时**我很年轻。 (**Dāngshí** wǒ hěn niánqīng.) **That time** I was very young。
chinese-essencial-in-communication-3-to-interview,采访,,cǎifǎng,to interview,🎤,记者正在**采访**他。 (Jìzhě zhèngzài **cǎifǎng** tā.) The reporter is **to interview**ing him。
chinese-essencial-in-communication-3-to-be-wounded,受伤,,shòushāng,to be wounded,🩹,他从马上**受伤**了。 (Tā cóng mǎ shàng **shòushāng** le.) He **to be wounded** from the horse。
chinese-essencial-in-communication-3-to-look-after,照顾,,zhàogù,to look after,🤗,她**照顾**她的妹妹。 (Tā **zhàogù** tā de mèimei.) She **to look after** her younger sister。
chinese-essencial-in-communication-3-afterwards,后来,,hòulái,afterwards,➡️,"**后来**他离开了。 (**Hòulái** tā líkāi le.) **Afterwards**, he left"
chinese-essencial-in-communication-3-to-love-each-other,相爱,,xiāng'ài,to love each other,💕,他们两个**相爱**。 (Tāmen liǎng ge **xiāng'ài**.) The two of them **to love each other**。
chinese-essencial-in-communication-3-to-forget,忘,,wàng,to forget,🧠,不要**忘**记我。 (Bú yào **wàng**jì wǒ.) Don't **to forget** me。
chinese-essencial-in-communication-3-kung-fu-film,武打片,,wǔdǎpiàn,kung fu film,🥋,我喜欢看**武打片**。 (Wǒ xǐhuān kàn **wǔdǎpiàn**.) I like to watch **kung fu film**s。
chinese-essencial-in-communication-3-love-movie,爱情片,,àiqíngpiàn,love movie,💖,她最爱看**爱情片**。 (Tā zuì ài kàn **àiqíngpiàn**.) She loves to watch **love movie**s the most。
