ID,front/title,front/icon,front/description,back/title,back/icon,back/description
chinese-essencial-in-communication-1-english-home-family,家,,jiā,"home, family",👨‍👩‍👧,我**家**在北京。 (Wǒ **jiā**) zài Běijīng. My **home** is in Beijing.
chinese-essencial-in-communication-1-english-in-place-time-direction-etc,里,,lǐ,"in (place, time, direction, etc)",📦,房间**里**有人。 (Fángjiān **lǐ**) yǒu rén. There is someone **in** the room.
chinese-essencial-in-communication-1-english-today,今天,,jīntiān,today,🗓️,**今天**是星期六。 (**Jīntiān**) shì Xīngqīliù. **Today** is Saturday.
chinese-essencial-in-communication-1-english-evening,晚上,,wǎnshang,evening,🌙,我**晚上**休息。 (Wǒ **wǎnshang**) xiūxi. I rest in the **evening**.
chinese-essencial-in-communication-1-english-banquet,宴会,,yànhuì,banquet,🥂,我参加一个**宴会**。 (Wǒ cānjiā yí ge **yànhuì**.) I attend a **banquet**.
chinese-essencial-in-communication-1-english-hotel-restaurant,饭店,,fàndiàn,"hotel, restaurant",🏨,我在这家**饭店**吃饭。 (Wǒ zài zhè jiā **fàndiàn**) chīfàn. I eat at this **restaurant**.
chinese-essencial-in-communication-1-english-to-pick-up,接,,jiē,to pick up,🤝,我能去**接**你吗？ (Wǒ néng qù **jiē** nǐ ma?) Can I **pick up** you?
chinese-essencial-in-communication-1-english-residential-neighborhood,小区,,xiǎoqū,residential neighborhood,🏘️,我住在**小区**。 (Wǒ zhùzài **xiǎoqū**.) I live in the **residential neighborhood**.
chinese-essencial-in-communication-1-english-floor-of-a-building,层,,céng,floor of a building,⬆️,我在三**层**。 (Wǒ zài sān **céng**.) I am on the third **floor**.
chinese-essencial-in-communication-1-english-front,前边,,qiánbiān,front,➡️,房间**前边**有路。 (Fángjiān **qiánbiān**) yǒu lù. There is a road in **front** of the room.
chinese-essencial-in-communication-1-english-to-wait-to-expect,等,,děng,"to wait, to expect",⏳,请**等**一会儿。 (Qǐng **děng**) yīhuìr. Please **wait** a little while.
chinese-essencial-in-communication-1-english-a-little-while,一会儿,,yīhuìr,a little while,⏱️,请等**一会儿**。 (Qǐng děng **yīhuìr**.) Please wait **a little while**.
chinese-essencial-in-communication-1-english-chang'an-hotel,长安饭店,,Cháng'ān Fàndiàn,Chang'an Hotel,🏨,**长安饭店**很远。 (**Cháng'ān Fàndiàn**) hěn yuǎn. **Chang'an Hotel** is very far.
chinese-essencial-in-communication-1-english-yangguang-residential-neighborhood,阳光小区,,Yángguāng Xiǎoqū,Yangguang Residential Neighborhood,🏘️,我住在**阳光小区**。 (Wǒ zhùzài **Yángguāng Xiǎoqū**.) I live in **Yangguang Residential Neighborhood**.
chinese-essencial-in-communication-1-english-the-second,第二,,dì'èr,the second,🥈,我是**第二**名。 (Wǒ shì **dì'èr**) míng. I am **the second** person.
chinese-essencial-in-communication-1-english-hospital,医院,,yīyuàn,hospital,🏥,我需要去**医院**。 (Wǒ xūyào qù **yīyuàn**.) I need to go to the **hospital**.
chinese-essencial-in-communication-1-english-road,路,,lù,road,🛣️,这条**路**很长。 (Zhè tiáo **lù**) hěn cháng. This **road** is very long.
chinese-essencial-in-communication-1-english-to-be-away-from,离,,lí,to be away from,↔️,我家**离**学校很近。 (Wǒ jiā **lí**) xuéxiào hěn jìn. My home is **away from** school very close.
chinese-essencial-in-communication-1-english-here,这儿,,zhèr,here,📍,我住在**这儿**。 (Wǒ zhùzài **zhèr**.) I live **here**.
chinese-essencial-in-communication-1-english-far,远,,yuǎn,far,🌍,学校很**远**。 (Xuéxiào hěn **yuǎn**.) The school is very **far**.
chinese-essencial-in-communication-1-english-to-know,知道,,zhīdào,to know,🧠,你**知道**吗？ (Nǐ **zhīdào**) ma? Do you **know**?
chinese-essencial-in-communication-1-english-the-east,东边,,dōngbiān,the east,🧭,饭店在**东边**。 (Fàndiàn zài **dōngbiān**.) The hotel is on **the east** side.
chinese-essencial-in-communication-1-english-you-are-welcome,别客气,,bié kèqi,you are welcome,🙏,**别客气**。 (**Bié kèqi**). **You are welcome**.
chinese-essencial-in-communication-1-english-no.-2-hospital,第二医院,,Dì'èr Yīyuàn,No. 2 Hospital,🏥,**第二医院**很远。 (**Dì'èr Yīyuàn**) hěn yuǎn. **No. 2 Hospital** is very far.
chinese-essencial-in-communication-1-english-dongcheng-road,东城路,,Dōngchéng Lù,Dongcheng Road,🛣️,**东城路**在这儿。 (**Dōngchéng Lù**) zài zhèr. **Dongcheng Road** is here.
chinese-essencial-in-communication-1-english-measure-word-used-for-family-members,口,,kǒu,"(measure word, used for family members)",👨‍👩‍👧,我家有三**口**人。 (Wǒ jiā yǒu sān **kǒu**) rén. My family has three **members**.
chinese-essencial-in-communication-1-english-four,四,,sì,four,4️⃣,我有**四**个朋友。 (Wǒ yǒu **sì**) ge péngyǒu. I have **four** friends.
chinese-essencial-in-communication-1-english-younger-sister,妹妹,,mèimei,younger sister,👧,我有一个**妹妹**。 (Wǒ yǒu yí ge **mèimei**.) I have a **younger sister**.
chinese-essencial-in-communication-1-english-and,和,,hé,and,➕,我**和**妹妹。 (Wǒ **hé**) mèimei. I **and** younger sister.
chinese-essencial-in-communication-1-english-lawyer,律师,,lǜshī,lawyer,👩‍⚖️,我爸爸是**律师**。 (Wǒ bàba shì **lǜshī**.) My dad is a **lawyer**.
chinese-essencial-in-communication-1-english-very-extremely,非常,,fēicháng,"very, extremely",💯,我**非常**忙。 (Wǒ **fēicháng**) máng. I am **very** busy.
chinese-essencial-in-communication-1-english-busy,忙,,máng,busy,🏃,我今天很**忙**。 (Wǒ jīntiān hěn **máng**.) I am very **busy** today.
chinese-essencial-in-communication-1-english-often,常常,,chángcháng,often,⏳,我**常常**去图书馆。 (Wǒ **chángcháng**) qù túshūguǎn. I **often** go to the library.
chinese-essencial-in-communication-1-english-then-at-that-time,那时,,nàshí,"then, at that time",🕰️,**那时**我在北京。 (**Nàshí**) wǒ zài Běijīng. **Then** I was in Beijing.
chinese-essencial-in-communication-1-english-pretty,漂亮,,piàoliang,pretty,✨,她很**漂亮**。 (Tā hěn **piàoliang**.) She is very **pretty**.
chinese-essencial-in-communication-1-english-grandfather,外公,,wàigōng,grandfather,👴,我的**外公**是英国人。 (Wǒ de **wàigōng**) shì Yīngguó rén. My **grandfather** is British.
chinese-essencial-in-communication-1-english-to-hope-to-wish,希望,,xīwàng,"to hope, to wish",🙏,我**希望**你来。 (Wǒ **xīwàng**) nǐ lái. I **hope** you come.
chinese-essencial-in-communication-1-english-bank,银行,,yínháng,bank,🏦,我明天要去**银行**。 (Wǒ míngtiān yào qù **yínháng**.) I am going to the **bank** tomorrow.
chinese-essencial-in-communication-1-english-but,可是,,kěshì,but,🛑,"我想要，**可是**太贵了。 (Wǒ xiǎng yào, **kěshì**) tài guì le. I want it, **but** it's too expensive."
chinese-essencial-in-communication-1-english-doctor,医生,,yīshēng,doctor,🧑‍⚕️,我爸爸是**医生**。 (Wǒ bàba shì **yīshēng**.) My dad is a **doctor**.
chinese-essencial-in-communication-1-english-brothers-and-sisters,兄弟姐妹,,xiōngdì jiěmèi,brothers and sisters,👨‍👩‍👧‍👦,我有很多**兄弟姐妹**。 (Wǒ yǒu hěn duō **xiōngdì jiěmèi**.) I have many **brothers and sisters**.
chinese-essencial-in-communication-1-english-only,只,,zhǐ,only,🤏,我**只**有一个妹妹。 (Wǒ **zhǐ**) yǒu yí ge mèimei. I **only** have one younger sister.
chinese-essencial-in-communication-1-english-child,孩子,,háizi,child,👶,我有一个**孩子**。 (Wǒ yǒu yí ge **háizi**.) I have a **child**.
chinese-essencial-in-communication-1-english-auxiliary-word,呢,,ne,(auxiliary word),❓,你**呢**？ (Nǐ **ne**)? How about you?
chinese-essencial-in-communication-1-english-elder-sister,姐姐,,jiějie,elder sister,👩,我有一个**姐姐**。 (Wǒ yǒu yí ge **jiějie**.) I have an **elder sister**.
chinese-essencial-in-communication-1-english-twins,双胞胎,,shuāngbāotāi,twins,👯,他们是**双胞胎**。 (Tāmen shì **shuāngbāotāi**.) They are **twins**.
chinese-essencial-in-communication-1-english-front,前面,,qiánmiàn,front,➡️,房间**前面**有路。 (Fángjiān **qiánmiàn**) yǒu lù. There is a road in **front** of the room.
chinese-essencial-in-communication-1-english-just,就,,jiù,just,✅,我**就**是你。 (Wǒ **jiù**) shì nǐ. I **just** am you.
chinese-essencial-in-communication-1-english-to-escort,送,,sòng,to escort,🚗,我**送**你去机场。 (Wǒ **sòng**) nǐ qù jīchǎng. I **escort** you to the airport.
chinese-essencial-in-communication-1-english-parents,父母,,fùmǔ,parents,👨‍👩‍👧,我的**父母**很高兴。 (Wǒ de **fùmǔ**) hěn gāoxìng. My **parents** are very happy.
chinese-essencial-in-communication-1-english-together,一起,,yīqǐ,together,🤝,我们**一起**学习。 (Wǒmen **yīqǐ**) xuéxí. We study **together**.
chinese-essencial-in-communication-1-english-all,都,,dōu,all,🌐,我们**都**是学生。 (Wǒmen **dōu**) shì xuéshēng. We are **all** students.
chinese-essencial-in-communication-1-english-grandpa,爷爷,,yéye,grandpa,👴,我的**爷爷**很老。 (Wǒ de **yéye**) hěn lǎo. My **grandpa** is very old.
chinese-essencial-in-communication-1-english-grandma,奶奶,,nǎinai,grandma,👵,"**奶奶**，你好！ (**Nǎinai**), nǐ hǎo! Hello, **grandma**!"
chinese-essencial-in-communication-1-english-elder-brother,哥哥,,gēge,elder brother,👦,我有一个**哥哥**。 (Wǒ yǒu yí ge **gēge**.) I have an **elder brother**.
chinese-essencial-in-communication-1-english-sister-in-law-wife-of-your-elder-brother,嫂子,,sǎozi,sister-in-law (wife of your elder brother),👰,我爱我的**嫂子**。 (Wǒ ài wǒ de **sǎozi**.) I love my **sister-in-law**.
chinese-essencial-in-communication-1-english-they,他们,,tāmen,they,🧑‍🤝‍🧑,**他们**是学生。 (**Tāmen**) shì xuéshēng. **They** are students.
chinese-essencial-in-communication-1-english-altogether,一共,,yígòng,altogether,➕,我们**一共**五个人。 (Wǒmen **yígòng**) wǔ ge rén. We are **altogether** five people.
chinese-essencial-in-communication-1-english-family,家庭,,jiātíng,family,🏠,我的**家庭**很幸福。 (Wǒ de **jiātíng**) hěn xìngfú. My **family** is very happy.
chinese-essencial-in-communication-1-english-o'clock-hour-measure-word,点,,diǎn,"o'clock, hour (measure word)",🕑,现在两**点**。 (Xiànzài liǎng **diǎn**.) It is two **o'clock** now.
chinese-essencial-in-communication-1-english-half,半,,bàn,half,🕒,现在两点**半**。 (Xiànzài liǎng diǎn **bàn**.) It is two thirty (**half**) now.
chinese-essencial-in-communication-1-english-excuse-me,劳驾,,láojià,excuse me,🗣️,"**劳驾**，请问... (**Láojià**), qǐngwèn... **Excuse me**, may I ask..."
chinese-essencial-in-communication-1-english-minute-measure-word,分,,fēn,minute (measure word),⏱️,现在两点十分**分**。 (Xiànzài liǎng diǎn shí **fēn**.) It is two ten (**minute**) now.
chinese-essencial-in-communication-1-english-young-lady,姑娘,,gūniang,young lady,👸,"**姑娘**，你好！ (**Gūniang**), nǐ hǎo! Hello, **young lady**!"
chinese-essencial-in-communication-1-english-to-be-less-than-to-be-short-of,差,,chà,"to be less than, to be short of",⏳,现在**差**十分两点。 (Xiànzài **chà**) shí fēn liǎng diǎn. It is ten **less than** two o'clock.
chinese-essencial-in-communication-1-english-to-be-willing-to,愿意,,yuànyì,to be willing to,😊,我**愿意**去。 (Wǒ **yuànyì**) qù. I **am willing to** go.
chinese-essencial-in-communication-1-english-to-be-able-to,能,,néng,to be able to,💪,我**能**做。 (Wǒ **néng**) zuò. I **am able to** do it.
chinese-essencial-in-communication-1-english-time-moment,时候,,shíhou,"time, moment",⏰,我没**时候**。 (Wǒ méi **shíhou**.) I don't have **time**.
chinese-essencial-in-communication-1-english-to-be-off-duty-to-get-off-work,下班,,xiàbān,"to be off duty, to get off work",🚪,我六点**下班**。 (Wǒ liù diǎn **xiàbān**.) I **get off work** at six o'clock.
chinese-essencial-in-communication-1-english-will-do,行,,xíng,will do,👌,可以**行**。 (Kěyǐ **xíng**.) It **will do**.
chinese-essencial-in-communication-1-english-to-arrive-to-reach,到,,dào,"to arrive, to reach",📍,我**到**家了。 (Wǒ **dào**) jiā le. I **arrived** home.
chinese-essencial-in-communication-1-english-to-eat,吃,,chī,to eat,🍴,我**吃**饭。 (Wǒ **chī**) fàn. I **eat** food.
chinese-essencial-in-communication-1-english-supper,晚饭,,wǎnfàn,supper,🍲,我们吃**晚饭**。 (Wǒmen chī **wǎnfàn**.) We eat **supper**.
chinese-essencial-in-communication-1-english-to-start,开始,,kāishǐ,to start,🏁,**开始**工作。 (**Kāishǐ**) gōngzuò. **Start** working.
chinese-essencial-in-communication-1-english-to-train,训练,,xùnliàn,to train,🏃,我们需要**训练**。 (Wǒmen xūyào **xùnliàn**.) We need **to train**.
chinese-essencial-in-communication-1-english-mr,先生,,xiānsheng,Mr,👨,"**先生**，您贵姓？ (**Xiānsheng**), nín guìxìng? **Mr**, what is your surname?"
chinese-essencial-in-communication-1-english-lately-recently,最近,,zuìjìn,"lately, recently",🗓️,我**最近**很忙。 (Wǒ **zuìjìn**) hěn máng. I have been very busy **lately**.
chinese-essencial-in-communication-1-english-to-get-up,起床,,qǐ chuáng,to get up,⏰,我早上六点**起床**。 (Wǒ zǎoshang liù diǎn **qǐ chuáng**.) I **get up** at six in the morning.
chinese-essencial-in-communication-1-english-later-after,以后,,yǐhòu,"later, after",⏭️,**以后**我们再见。 (**Yǐhòu**) wǒmen zàijiàn. See you **later**.
chinese-essencial-in-communication-1-english-to-sleep,睡觉,,shuìjiào,to sleep,😴,我**要**睡觉。 (Wǒ **yào** shuìjiào.) I **want** to sleep.
chinese-essencial-in-communication-1-english-such-so,这么,,zhème,"such, so",😮,你**这么**高！ (Nǐ **zhème**) gāo! You are **so** tall!
chinese-essencial-in-communication-1-english-to-go-to-work,上班,,shàngbān,to go to work,🏢,我七点**上班**。 (Wǒ qī diǎn **shàngbān**.) I **go to work** at seven o'clock.
chinese-essencial-in-communication-1-english-to-work-overtime,加班,,jiābān,to work overtime,🌙,我今天需要**加班**。 (Wǒ jīntiān xūyào **jiābān**.) I need **to work overtime** today.
chinese-essencial-in-communication-1-english-head-office,总公司,,zǒnggōngsī,head office,🏛️,我在**总公司**工作。 (Wǒ zài **zǒnggōngsī**) gōngzuò. I work at the **head office**.
chinese-essencial-in-communication-1-english-measure-word,项,,xiàng,(measure word),🏆,这是一**项**任务。 (Zhè shì yí **xiàng**) rènwu. This is one **item** (of a task).
chinese-essencial-in-communication-1-english-important,重要,,zhòngyào,important,⭐,这件事很**重要**。 (Zhè jiàn shì hěn **zhòngyào**.) This matter is very **important**.
chinese-essencial-in-communication-1-english-not-sure,不一定,,bù yīdìng,not sure,❓,"**不一定**，明天再说。 (**Bù yīdìng**), míngtiān zài shuō. **Not sure**, let's discuss it tomorrow."
chinese-essencial-in-communication-1-english-sometimes-occasionally,有时候,,yǒushíhou,"sometimes, occasionally",⏳,我**有时候**很忙。 (Wǒ **yǒushíhou**) hěn máng. I am busy **sometimes**.
chinese-essencial-in-communication-1-english-friday,星期五,,Xīngqīwǔ,Friday,🥳,我**星期五**休息。 (Wǒ **Xīngqīwǔ**) xiūxi. I rest on **Friday**.
chinese-essencial-in-communication-1-english-to-be-free,有空儿,,yǒukòngr,to be free,🧘,你**有空儿**吗？ (Nǐ **yǒukòngr**) ma? **Are** you **free**?
chinese-essencial-in-communication-1-english-to-put-off-until-some-time-later,再说,,zàishuō,to put off until some time later,⏭️,我们**再说**吧。 (Wǒmen **zàishuō**) ba. Let's **put off until some time later**.
chinese-essencial-in-communication-1-english-really,真的,,zhēn de,really,😲,是**真的**吗？ (Shì **zhēn de**) ma? Is it **really**?
chinese-essencial-in-communication-1-english-nothing,没什么,,méi shénme,nothing,😌,"**没什么**，小事。 (**Méi shénme**), xiǎoshì. **Nothing**, it's a small matter."
chinese-essencial-in-communication-1-english-to-welcome,欢迎,,huānyíng,to welcome,👋,**欢迎**你来！ (**Huānyíng**) nǐ lái! **Welcome** you to come!
chinese-essencial-in-communication-1-english-next-time,下次,,xià cì,next time,⏭️,**下次**见！ (**Xià cì**) jiàn! See you **next time**!
chinese-essencial-in-communication-1-english-wednesday,星期三,,Xīngqīsān,Wednesday,📅,我**星期三**休息。 (Wǒ **Xīngqīsān**) xiūxi. I rest on **Wednesday**.
chinese-essencial-in-communication-1-english-ok,好的,,hǎo de,OK,✅,"**好的**，没问题。 (**Hǎo de**), méi wèntí. **OK**, no problem."
chinese-essencial-in-communication-1-english-friend,朋友,,péngyou,friend,🤝,他是我最好的**朋友**。 (Tā shì wǒ zuì hǎo de **péngyou**.) He is my best **friend**.
chinese-essencial-in-communication-1-english-daughter,女儿,,nǚ'ér,daughter,👧,我有一个**女儿**。 (Wǒ yǒu yí ge **nǚ'ér**.) I have a **daughter**.
chinese-essencial-in-communication-1-english-to-learn,学,,xué,to learn,🧠,我**学**中文。 (Wǒ **xué**) Zhōngwén. I **learn** Chinese.
chinese-essencial-in-communication-1-english-to-teach,教,,jiāo,to teach,👨‍🏫,我**教**中文。 (Wǒ **jiāo**) Zhōngwén. I **teach** Chinese.
chinese-essencial-in-communication-1-english-time,时间,,shíjiān,time,⏰,我没有**时间**。 (Wǒ méiyǒu **shíjiān**.) I don't have **time**.
chinese-essencial-in-communication-1-english-not-to-have-to-be-without,没有,,méiyǒu,"not to have, to be without",❌,我**没有**钱。 (Wǒ **méiyǒu**) qián. I **do not have** money.
chinese-essencial-in-communication-1-english-lesson-class,课,,kè,"lesson, class",📚,我今天有中文**课**。 (Wǒ jīntiān yǒu Zhōngwén **kè**.) I have Chinese **class** today.
chinese-essencial-in-communication-1-english-to-for,给,,gěi,"to, for",🎁,我**给**你打电话。 (Wǒ **gěi**) nǐ dǎ diànhuà. I make a phone call **to** you.
chinese-essencial-in-communication-1-english-to-make-a-phone-call,打,,dǎ,to make (a phone call),📞,我**打**电话。 (Wǒ **dǎ**) diànhuà. I **make** a phone call.
