ID,,front/title,front/icon,front/description,,back/title,back/icon,back/description
chinese-essencial-in-communication-1-thai-or,还是,还是,,háishi,or,หรือ,⚖️,你喝茶**还是**咖啡？ (Nǐ hē chá **háishi**) kāfēi? คุณดื่มชา**หรือ**กาแฟ?
chinese-essencial-in-communication-1-thai-stature-height,个子,个子,,gèzi,"stature, height","ส่วนสูง, รูปร่าง",⬆️,他的**个子**很高。 (Tā de **gèzi**) hěn gāo. **ส่วนสูง**ของเขาสูงมาก
chinese-essencial-in-communication-1-thai-tall,高,高,,gāo,tall,สูง,📏,他很**高**。 (Tā hěn **gāo**.) เขา**สูง**มาก
chinese-essencial-in-communication-1-thai-meter-measure-word,米,米,,mǐ,meter (measure word),เมตร,📏,他有两**米**高。 (Tā yǒu liǎng **mǐ**) gāo. เขาสูงสอง**เมตร**
chinese-essencial-in-communication-1-thai-about-or-so-used-after-a-number,左右,左右,,zuǒyòu,"about, or so (used after a number)","ประมาณ, ราวๆ",🔄,他二十岁**左右**。 (Tā èrshí suì **zuǒyòu**.) เขาอายุ**ประมาณ**ยี่สิบปี
chinese-essencial-in-communication-1-thai-handsome,帅,帅,,shuài,handsome,หล่อ,🤩,他很**帅**。 (Tā hěn **shuài**.) เขา**หล่อ**มาก
chinese-essencial-in-communication-1-thai-to-look-for,找,找,,zhǎo,to look for,หา,🔎,我在**找**我的护照。 (Wǒ zài **zhǎo**) wǒ de hùzhào. ฉันกำลัง**หา**หนังสือเดินทางของฉัน
chinese-essencial-in-communication-1-thai-such-like-this,这样,这样,,zhèyàng,"such, like this","แบบนี้, เช่นนี้",👈,我喜欢**这样**做。 (Wǒ xǐhuān **zhèyàng**) zuò. ฉันชอบทำ**แบบนี้**
chinese-essencial-in-communication-1-thai-boyfriend,男朋友,男朋友,,nán péngyǒu,boyfriend,แฟน (ผู้ชาย),👫,他是我**男朋友**。 (Tā shì wǒ **nán péngyǒu**.) เขาเป็น**แฟน (ผู้ชาย)** ของฉัน
chinese-essencial-in-communication-1-thai-miss,小姐,小姐,,xiǎojiě,miss,คุณผู้หญิง,👸,"**小姐**，您贵姓？ (**Xiǎojiě**), nín guìxìng? **คุณผู้หญิง** นามสกุลอะไรคะ?"
chinese-essencial-in-communication-1-thai-tired-fatigued,累,累,,lèi,"tired, fatigued","เหนื่อย, อ่อนเพลีย",😴,我今天很**累**。 (Wǒ jīntiān hěn **lèi**.) วันนี้ฉัน**เหนื่อย**มาก
chinese-essencial-in-communication-1-thai-tomorrow,明天,明天,,míngtiān,tomorrow,พรุ่งนี้,🌅,**明天**见。 (**Míngtiān**) jiàn. **พรุ่งนี้**เจอกัน
chinese-essencial-in-communication-1-thai-to-have-a-rest,休息,休息,,xiūxi,to have a rest,พักผ่อน,🛌,我今天想**休息**。 (Wǒ jīntiān xiǎng **xiūxi**.) วันนี้ฉันอยาก**พักผ่อน**
chinese-essencial-in-communication-1-thai-to-want-to-do,要,要,,yào,to want (to do),ต้องการจะ,🙏,我**要**去北京。 (Wǒ **yào**) qù Běijīng. ฉัน**ต้องการจะ**ไปปักกิ่ง
chinese-essencial-in-communication-1-thai-too,太,太,,tài,too,เกินไป,😱,你**太**高了！ (Nǐ **tài**) gāo le! คุณ**สูงเกินไป**แล้ว!
chinese-essencial-in-communication-1-thai-overweight,胖,胖,,pàng,overweight,อ้วน,🍔,我**胖**了。 (Wǒ **pàng**) le. ฉัน**อ้วน**ขึ้น
chinese-essencial-in-communication-1-thai-ah-modal-particle,啊,啊,,a,ah (modal particle),"นะ, อ่า (คำช่วยลงท้าย)",😮,好**啊**！ (Hǎo **a**) ! **ดี**เลย **อ่า**!
chinese-essencial-in-communication-1-thai-weight,体重,体重,,tǐzhòng,weight,น้ำหนักตัว,⚖️,你的**体重**是多少？ (Nǐ de **tǐzhòng**) shì duōshǎo? **น้ำหนักตัว**ของคุณเท่าไหร่?
chinese-essencial-in-communication-1-thai-kilogram-measure-word,公斤,公斤,,gōngjīn,kilogram (measure word),กิโลกรัม,⚖️,我有五十五**公斤**。 (Wǒ yǒu wǔshíwǔ **gōngjīn**.) ฉันมีห้าสิบห้า**กิโลกรัม**
chinese-essencial-in-communication-1-thai-yet-still,还,还,,hái,"yet, still","ยัง, ยังคง",⏳,我**还**没去。 (Wǒ **hái**) méi qù. ฉัน**ยัง**ไม่ได้ไป
chinese-essencial-in-communication-1-thai-passable-not-bad,可以,可以,,kěyǐ,"passable, not bad","พอใช้, ไม่เลว",👌,他的中文**可以**。 (Tā de Zhōngwén **kěyǐ**.) ภาษาจีนของเขา**พอใช้ได้**
chinese-essencial-in-communication-1-thai-we-us,我们,我们,,wǒmen,"we, us","พวกเรา, เรา",👥,**我们**去学校。 (**Wǒmen**) qù xuéxiào. **พวกเรา**ไปโรงเรียน
chinese-essencial-in-communication-1-thai-school;-university,学校,学校,,xuéxiào,school; university,"โรงเรียน, มหาวิทยาลัย",🏫,我在**学校**学习。 (Wǒ zài **xuéxiào**) xuéxí. ฉันเรียนที่**โรงเรียน**
chinese-essencial-in-communication-1-thai-there-be;-to-have,有,有,,yǒu,there be; to have,"มี, มีอยู่",✅,我**有**一个妹妹。 (Wǒ **yǒu**) yí ge mèimei. ฉัน**มี**น้องสาวหนึ่งคน
chinese-essencial-in-communication-1-thai-callisthenics,健美操,健美操,,jiànměicāo,callisthenics,แอโรบิก,🤸,我喜欢**健美操**。 (Wǒ xǐhuān **jiànměicāo**.) ฉันชอบ**แอโรบิก**
chinese-essencial-in-communication-1-thai-competition,比赛,比赛,,bǐsài,competition,การแข่งขัน,🏆,我参加**比赛**。 (Wǒ cānjiā **bǐsài**.) ฉันเข้าร่วม**การแข่งขัน**
chinese-essencial-in-communication-1-thai-to-participate-in,参加,参加,,cānjiā,to participate in,เข้าร่วม,🙋,我**参加**比赛。 (Wǒ **cānjiā**) bǐsài. ฉัน**เข้าร่วม**การแข่งขัน
chinese-essencial-in-communication-1-thai-to-act-as-to-serve-as,当,当,,dāng,"to act as, to serve as","ทำหน้าที่เป็น, เป็น",🏅,我**当**老师。 (Wǒ **dāng**) lǎoshī. ฉัน**ทำหน้าที่เป็น**ครู
chinese-essencial-in-communication-1-thai-to-go-to,去,去,,qù,to go to,ไป,🚶,我**去**北京。 (Wǒ **qù**) qù Běijīng. ฉัน**ไป**ปักกิ่ง
chinese-essencial-in-communication-1-thai-to-live,住,住,,zhù,to live,อาศัย,🏡,我**住**在宿舍。 (Wǒ **zhù**) zài sùshè. ฉัน**อาศัย**อยู่ในหอพัก
chinese-essencial-in-communication-1-thai-dormitory,宿舍,宿舍,,sùshè,dormitory,หอพัก,🛌,我住在**宿舍**。 (Wǒ zhùzài **sùshè**.) ฉันอาศัยอยู่ใน**หอพัก**
chinese-essencial-in-communication-1-thai-number-order,号,号,,hào,"number, order","หมายเลข, ลำดับ",#️⃣,我的房间**号**是 302。 (Wǒ de fángjiān **hào**) shì sān líng èr. **หมายเลข**ห้องของฉันคือ 302
chinese-essencial-in-communication-1-thai-building,楼,楼,,lóu,building,อาคาร,🏢,我在三**楼**。 (Wǒ zài sān **lóu**.) ฉันอยู่บน**อาคาร**ที่สาม
chinese-essencial-in-communication-1-thai-room,房间,房间,,fángjiān,room,ห้อง,🚪,我的**房间**很大。 (Wǒ de **fángjiān**) hěn dà. **ห้อง**ของฉันใหญ่มาก
chinese-essencial-in-communication-1-thai-telephone,电话,电话,,diànhuà,telephone,โทรศัพท์,📞,这是我的**电话**号码。 (Zhè shì wǒ de **diànhuà**) hàomǎ. นี่คือเบอร์**โทรศัพท์**ของฉัน
chinese-essencial-in-communication-1-thai-to-meet-to-see,见,见,,jiàn,"to meet, to see","พบ, เจอ",👋,明天**见**！ (Míngtiān **jiàn**)! **เจอ**กันพรุ่งนี้!
chinese-essencial-in-communication-1-thai-hello,喂,喂,,wèi,hello,ฮัลโหล,📞,**喂**！你好！ (**Wèi**)! Nǐ hǎo! **ฮัลโหล**! สวัสดี!
chinese-essencial-in-communication-1-thai-home-family,家,家,,jiā,"home, family","บ้าน, ครอบครัว",👨‍👩‍👧,我**家**在北京。 (Wǒ **jiā**) zài Běijīng. **บ้าน**ฉันอยู่ที่ปักกิ่ง
chinese-essencial-in-communication-1-thai-in-place-time-direction-etc,里,里,,lǐ,"in (place, time, direction, etc)","ใน (ระบุสถานที่, เวลา, ทิศทาง)",📦,房间**里**有人。 (Fángjiān **lǐ**) yǒu rén. มีคนอยู่**ใน**ห้อง
chinese-essencial-in-communication-1-thai-today,今天,今天,,jīntiān,today,วันนี้,🗓️,**今天**是星期六。 (**Jīntiān**) shì Xīngqīliù. **วันนี้**เป็นวันเสาร์
chinese-essencial-in-communication-1-thai-evening,晚上,晚上,,wǎnshang,evening,ตอนค่ำ,🌙,我**晚上**休息。 (Wǒ **wǎnshang**) xiūxi. ฉันพักผ่อน**ตอนค่ำ**
chinese-essencial-in-communication-1-thai-banquet,宴会,宴会,,yànhuì,banquet,งานเลี้ยง,🥂,我参加一个**宴会**。 (Wǒ cānjiā yí ge **yànhuì**.) ฉันเข้าร่วม**งานเลี้ยง**หนึ่งงาน
chinese-essencial-in-communication-1-thai-hotel-restaurant,饭店,饭店,,fàndiàn,"hotel, restaurant","โรงแรม, ภัตตาคาร",🏨,我在这家**饭店**吃饭。 (Wǒ zài zhè jiā **fàndiàn**) chīfàn. ฉันกินข้าวที่**ภัตตาคาร**นี้
chinese-essencial-in-communication-1-thai-to-pick-up,接,接,,jiē,to pick up,รับ,🤝,我能去**接**你吗？ (Wǒ néng qù **jiē** nǐ ma?) ฉันสามารถไป**รับ**คุณได้ไหม?
chinese-essencial-in-communication-1-thai-residential-neighborhood,小区,小区,,xiǎoqū,residential neighborhood,ย่านที่พักอาศัย,🏘️,我住在**小区**。 (Wǒ zhùzài **xiǎoqū**.) ฉันอาศัยอยู่ใน**ย่านที่พักอาศัย**
chinese-essencial-in-communication-1-thai-floor-of-a-building,层,层,,céng,floor of a building,ชั้น (ของอาคาร),⬆️,我在三**层**。 (Wǒ zài sān **céng**.) ฉันอยู่บน**ชั้น**ที่สาม
chinese-essencial-in-communication-1-thai-front,前边,前边,,qiánbiān,front,ด้านหน้า,➡️,房间**前边**有路。 (Fángjiān **qiánbiān**) yǒu lù. มีถนนอยู่**ด้านหน้า**ห้อง
chinese-essencial-in-communication-1-thai-to-wait-to-expect,等,等,,děng,"to wait, to expect","รอ, คาดหวัง",⏳,请**等**一会儿。 (Qǐng **děng**) yīhuìr. โปรด**รอ**สักครู่
chinese-essencial-in-communication-1-thai-a-little-while,一会儿,一会儿,,yīhuìr,a little while,สักครู่,⏱️,请等**一会儿**。 (Qǐng děng **yīhuìr**.) โปรดรอ**สักครู่**
chinese-essencial-in-communication-1-thai-chang'an-hotel,长安饭店,长安饭店,,Cháng'ān Fàndiàn,Chang'an Hotel,โรงแรมฉางอัน,🏨,**长安饭店**很远。 (**Cháng'ān Fàndiàn**) hěn yuǎn. **โรงแรมฉางอัน**อยู่ไกลมาก
chinese-essencial-in-communication-1-thai-yangguang-residential-neighborhood,阳光小区,阳光小区,,Yángguāng Xiǎoqū,Yangguang Residential Neighborhood,ย่านที่พักอาศัยหยางกวง,🏘️,我住在**阳光小区**。 (Wǒ zhùzài **Yángguāng Xiǎoqū**.) ฉันอาศัยอยู่ใน**ย่านที่พักอาศัยหยางกวง**
chinese-essencial-in-communication-1-thai-the-second,第二,第二,,dì'èr,the second,ลำดับที่สอง,🥈,我是**第二**名。 (Wǒ shì **dì'èr**) míng. ฉันคือลำดับ**ที่สอง**
chinese-essencial-in-communication-1-thai-hospital,医院,医院,,yīyuàn,hospital,โรงพยาบาล,🏥,我需要去**医院**。 (Wǒ xūyào qù **yīyuàn**.) ฉันจำเป็นต้องไป**โรงพยาบาล**
chinese-essencial-in-communication-1-thai-road,路,路,,lù,road,ถนน,🛣️,这条**路**很长。 (Zhè tiáo **lù**) hěn cháng. **ถนน**สายนี้ยาวมาก
chinese-essencial-in-communication-1-thai-to-be-away-from,离,离,,lí,to be away from,ห่างจาก,↔️,我家**离**学校很近。 (Wǒ jiā **lí**) xuéxiào hěn jìn. บ้านฉัน**ห่างจาก**โรงเรียนใกล้มาก
chinese-essencial-in-communication-1-thai-here,这儿,这儿,,zhèr,here,ที่นี่,📍,我住在**这儿**。 (Wǒ zhùzài **zhèr**.) ฉันอาศัยอยู่**ที่นี่**
chinese-essencial-in-communication-1-thai-far,远,远,,yuǎn,far,ไกล,🌍,学校很**远**。 (Xuéxiào hěn **yuǎn**.) โรงเรียน**ไกล**มาก
chinese-essencial-in-communication-1-thai-to-know,知道,知道,,zhīdào,to know,รู้,🧠,你**知道**吗？ (Nǐ **zhīdào**) ma? คุณ**รู้**ไหม?
chinese-essencial-in-communication-1-thai-the-east,东边,东边,,dōngbiān,the east,ด้านตะวันออก,🧭,饭店在**东边**。 (Fàndiàn zài **dōngbiān**.) ภัตตาคารอยู่**ด้านตะวันออก**
chinese-essencial-in-communication-1-thai-you-are-welcome,别客气,别客气,,bié kèqi,you are welcome,ไม่ต้องเกรงใจ,🙏,**别客气**。 (**Bié kèqi**). **ไม่ต้องเกรงใจ**
chinese-essencial-in-communication-1-thai-no.-2-hospital,第二医院,第二医院,,Dì'èr Yīyuàn,No. 2 Hospital,โรงพยาบาลที่สอง,🏥,**第二医院**很远。 (**Dì'èr Yīyuàn**) hěn yuǎn. **โรงพยาบาลที่สอง**อยู่ไกลมาก
chinese-essencial-in-communication-1-thai-dongcheng-road,东城路,东城路,,Dōngchéng Lù,Dongcheng Road,ถนนตงเฉิง,🛣️,**东城路**在这儿。 (**Dōngchéng Lù**) zài zhèr. **ถนนตงเฉิง**อยู่ที่นี่
chinese-essencial-in-communication-1-thai-measure-word-used-for-family-members,口,口,,kǒu,"(measure word, used for family members)",คน (สมาชิกในครอบครัว),👨‍👩‍👧,我家有三**口**人。 (Wǒ jiā yǒu sān **kǒu**) rén. ครอบครัวฉันมีสาม**คน**
chinese-essencial-in-communication-1-thai-four,四,四,,sì,four,สี่,4️⃣,我有**四**个朋友。 (Wǒ yǒu **sì**) ge péngyǒu. ฉันมีเพื่อน**สี่**คน
chinese-essencial-in-communication-1-thai-younger-sister,妹妹,妹妹,,mèimei,younger sister,น้องสาว,👧,我有一个**妹妹**。 (Wǒ yǒu yí ge **mèimei**.) ฉันมี**น้องสาว**หนึ่งคน
chinese-essencial-in-communication-1-thai-and,和,和,,hé,and,และ,➕,我**和**妹妹。 (Wǒ **hé**) mèimei. ฉัน**และ**น้องสาว
chinese-essencial-in-communication-1-thai-lawyer,律师,律师,,lǜshī,lawyer,ทนายความ,👩‍⚖️,我爸爸是**律师**。 (Wǒ bàba shì **lǜshī**.) พ่อฉันเป็น**ทนายความ**
chinese-essencial-in-communication-1-thai-very-extremely,非常,非常,,fēicháng,"very, extremely","มาก, อย่างยิ่ง",💯,我**非常**忙。 (Wǒ **fēicháng**) máng. ฉันยุ่ง**มาก**
chinese-essencial-in-communication-1-thai-busy,忙,忙,,máng,busy,ยุ่ง,🏃,我今天很**忙**。 (Wǒ jīntiān hěn **máng**.) วันนี้ฉัน**ยุ่ง**มาก
chinese-essencial-in-communication-1-thai-often,常常,常常,,chángcháng,often,บ่อยๆ,⏳,我**常常**去图书馆。 (Wǒ **chángcháng**) qù túshūguǎn. ฉันไปห้องสมุด**บ่อยๆ**
chinese-essencial-in-communication-1-thai-then-at-that-time,那时,那时,,nàshí,"then, at that time","ตอนนั้น, ในเวลานั้น",🕰️,**那时**我在北京。 (**Nàshí**) wǒ zài Běijīng. **ตอนนั้น**ฉันอยู่ที่ปักกิ่ง
chinese-essencial-in-communication-1-thai-pretty,漂亮,漂亮,,piàoliang,pretty,สวย,✨,她很**漂亮**。 (Tā hěn **piàoliang**.) เธอ**สวย**มาก
chinese-essencial-in-communication-1-thai-grandfather,外公,外公,,wàigōng,grandfather,คุณตา,👴,我的**外公**是英国人。 (Wǒ de **wàigōng**) shì Yīngguó rén. **คุณตา**ของฉันเป็นคนอังกฤษ
chinese-essencial-in-communication-1-thai-to-hope-to-wish,希望,希望,,xīwàng,"to hope, to wish","หวังว่า, ปรารถนา",🙏,我**希望**你来。 (Wǒ **xīwàng**) nǐ lái. ฉัน**หวังว่า**คุณจะมา
chinese-essencial-in-communication-1-thai-bank,银行,,,yínháng,bank,ธนาคาร,🏦,我明天要去**银行**。 (Wǒ míngtiān yào qù **yínháng**.) พรุ่งนี้ฉันจะไป**ธนาคาร**
chinese-essencial-in-communication-1-thai-but,可是,可是,,kěshì,but,แต่,🛑,"我想要，**可是**太贵了。 (Wǒ xiǎng yào, **kěshì**) tài guì le. ฉันอยากได้ **แต่**มันแพงเกินไป"
chinese-essencial-in-communication-1-thai-doctor,医生,,,yīshēng,doctor,หมอ,🧑‍⚕️,我爸爸是**医生**。 (Wǒ bàba shì **yīshēng**.) พ่อฉันเป็น**หมอ**
chinese-essencial-in-communication-1-thai-brothers-and-sisters,兄弟姐妹,兄弟姐妹,,xiōngdì jiěmèi,brothers and sisters,พี่น้อง,👨‍👩‍👧‍👦,我有很多**兄弟姐妹**。 (Wǒ yǒu hěn duō **xiōngdì jiěmèi**.) ฉันมี**พี่น้อง**หลายคน
chinese-essencial-in-communication-1-thai-only,只,只,,zhǐ,only,เท่านั้น,🤏,我**只**有一个妹妹。 (Wǒ **zhǐ**) yǒu yí ge mèimei. ฉันมีน้องสาว**เท่านั้น**หนึ่งคน
chinese-essencial-in-communication-1-thai-child,孩子,孩子,,háizi,child,ลูก,👶,我有一个**孩子**。 (Wǒ yǒu yí ge **háizi**.) ฉันมี**ลูก**หนึ่งคน
chinese-essencial-in-communication-1-thai-auxiliary-word,呢,呢,,ne,(auxiliary word),ล่ะ (คำเสริมน้ำเสียงท้ายประโยค),❓,你**呢**？ (Nǐ **ne**)? แล้วคุณ**ล่ะ**?
chinese-essencial-in-communication-1-thai-elder-sister,姐姐,姐姐,,jiějie,elder sister,พี่สาว,👩,我有一个**姐姐**。 (Wǒ yǒu yí ge **jiějie**.) ฉันมี**พี่สาว**หนึ่งคน
chinese-essencial-in-communication-1-thai-twins,双胞胎,双胞胎,,shuāngbāotāi,twins,ฝาแฝด,👯,他们是**双胞胎**。 (Tāmen shì **shuāngbāotāi**.) พวกเขาเป็น**ฝาแฝด**
chinese-essencial-in-communication-1-thai-front,前面,前面,,qiánmiàn,front,ด้านหน้า,➡️,房间**前面**有路。 (Fángjiān **qiánmiàn**) yǒu lù. มีถนนอยู่**ด้านหน้า**ห้อง
chinese-essencial-in-communication-1-thai-just,就,就,,jiù,just,ก็,✅,我**就**是你。 (Wǒ **jiù**) shì nǐ. ฉัน**ก็**คือคุณ
chinese-essencial-in-communication-1-thai-to-escort,送,送,,sòng,to escort,ส่ง,🚗,我**送**你去机场。 (Wǒ **sòng**) nǐ qù jīchǎng. ฉันจะ**ส่ง**คุณไปสนามบิน
chinese-essencial-in-communication-1-thai-parents,父母,父母,,fùmǔ,parents,พ่อแม่,👨‍👩‍👧,我的**父母**很高兴。 (Wǒ de **fùmǔ**) hěn gāoxìng. **พ่อแม่**ของฉันดีใจมาก
chinese-essencial-in-communication-1-thai-together,一起,一起,,yīqǐ,together,ด้วยกัน,🤝,我们**一起**学习。 (Wǒmen **yīqǐ**) xuéxí. เราเรียน**ด้วยกัน**
chinese-essencial-in-communication-1-thai-all,都,都,,dōu,all,ทั้งหมด,🌐,我们**都**是学生。 (Wǒmen **dōu**) shì xuéshēng. พวกเราเป็นนักเรียน**ทั้งหมด**
chinese-essencial-in-communication-1-thai-grandpa,爷爷,爷爷,,yéye,grandpa,คุณปู่,👴,我的**爷爷**很老。 (Wǒ de **yéye**) hěn lǎo. **คุณปู่**ของฉันแก่มาก
chinese-essencial-in-communication-1-thai-grandma,奶奶,奶奶,,nǎinai,grandma,คุณย่า,👵,"**奶奶**，你好！ (**Nǎinai**), nǐ hǎo! **คุณย่า** สวัสดีค่ะ!"
chinese-essencial-in-communication-1-thai-elder-brother,哥哥,哥哥,,gēge,elder brother,พี่ชาย,👦,我有一个**哥哥**。 (Wǒ yǒu yí ge **gēge**.) ฉันมี**พี่ชาย**หนึ่งคน
chinese-essencial-in-communication-1-thai-sister-in-law-wife-of-your-elder-brother,嫂子,嫂子,,sǎozi,sister-in-law (wife of your elder brother),พี่สะใภ้ (ภรรยาพี่ชาย),👰,我爱我的**嫂子**。 (Wǒ ài wǒ de **sǎozi**.) ฉันรัก**พี่สะใภ้**ของฉัน
chinese-essencial-in-communication-1-thai-they,他们,他们,,tāmen,they,พวกเขา,🧑‍🤝‍🧑,**他们**是学生。 (**Tāmen**) shì xuéshēng. **พวกเขา**เป็นนักเรียน
chinese-essencial-in-communication-1-thai-altogether,一共,一共,,yígòng,altogether,รวมทั้งหมด,➕,我们**一共**五个人。 (Wǒmen **yígòng**) wǔ ge rén. เรามี**รวมทั้งหมด**ห้าคน
chinese-essencial-in-communication-1-thai-family,家庭,家庭,,jiātíng,family,ครอบครัว,🏠,我的**家庭**很幸福。 (Wǒ de **jiātíng**) hěn xìngfú. **ครอบครัว**ของฉันมีความสุขมาก
chinese-essencial-in-communication-1-thai-o'clock-hour-measure-word,点,点,,diǎn,"o'clock, hour (measure word)","โมง, นาฬิกา (ลักษณะนาม)",🕑,现在两**点**。 (Xiànzài liǎng **diǎn**.) ตอนนี้สอง**โมง**
chinese-essencial-in-communication-1-thai-half,半,半,,bàn,half,ครึ่ง,🕒,现在两点**半**。 (Xiànzài liǎng diǎn **bàn**.) ตอนนี้สองโมง**ครึ่ง**
chinese-essencial-in-communication-1-thai-excuse-me,劳驾,劳驾,,láojià,excuse me,ขอโทษ (เรียกคน),🗣️,"**劳驾**，请问... (**Láojià**), qǐngwèn... **ขอโทษ**นะครับ/คะ, ขอถามหน่อย..."
chinese-essencial-in-communication-1-thai-minute-measure-word,分,分,,fēn,minute (measure word),นาที,⏱️,现在两点十分**分**。 (Xiànzài liǎng diǎn shí **fēn**.) ตอนนี้สองโมงสิบ**นาที**
chinese-essencial-in-communication-1-thai-young-lady,姑娘,姑娘,,gūniang,young lady,คุณหนู,👸,"**姑娘**，你好！ (**Gūniang**), nǐ hǎo! **คุณหนู** สวัสดีค่ะ!"
chinese-essencial-in-communication-1-thai-to-be-less-than-to-be-short-of,差,差,,chà,"to be less than, to be short of","ขาด, น้อยกว่า",⏳,现在**差**十分两点。 (Xiànzài **chà**) shí fēn liǎng diǎn. ตอนนี้**ขาด**อีกสิบนาทีจะสองโมง
chinese-essencial-in-communication-1-thai-to-be-willing-to,愿意,愿意,,yuànyì,to be willing to,เต็มใจ,😊,我**愿意**去。 (Wǒ **yuànyì**) qù. ฉัน**เต็มใจ**ที่จะไป
chinese-essencial-in-communication-1-thai-to-be-able-to,能,能,,néng,to be able to,สามารถ,💪,我**能**做。 (Wǒ **néng**) zuò. ฉัน**สามารถ**ทำได้
chinese-essencial-in-communication-1-thai-time-moment,时候,时候,,shíhou,"time, moment","เวลา, ขณะ",⏰,我没**时候**。 (Wǒ méi **shíhou**.) ฉันไม่มี**เวลา**
chinese-essencial-in-communication-1-thai-to-be-off-duty-to-get-off-work,下班,下班,,xiàbān,"to be off duty, to get off work","เลิกงาน, ออกจากหน้าที่",🚪,我六点**下班**。 (Wǒ liù diǎn **xiàbān**.) ฉัน**เลิกงาน**ตอนหกโมง
chinese-essencial-in-communication-1-thai-will-do,行,行,,xíng,will do,ได้,👌,可以**行**。 (Kěyǐ **xíng**.) **ได้**เลย
chinese-essencial-in-communication-1-thai-to-arrive-to-reach,到,到,,dào,"to arrive, to reach","ถึง, มาถึง",📍,我**到**家了。 (Wǒ **dào**) jiā le. ฉัน**ถึง**บ้านแล้ว
chinese-essencial-in-communication-1-thai-to-eat,吃,吃,,chī,to eat,กิน,🍴,我**吃**饭。 (Wǒ **chī**) fàn. ฉัน**กิน**ข้าว
chinese-essencial-in-communication-1-thai-supper,晚饭,晚饭,,wǎnfàn,supper,อาหารเย็น,🍲,我们吃**晚饭**。 (Wǒmen chī **wǎnfàn**.) เรากิน**อาหารเย็น**
chinese-essencial-in-communication-1-thai-to-start,开始,开始,,kāishǐ,to start,เริ่ม,🏁,**开始**工作。 (**Kāishǐ**) gōngzuò. **เริ่ม**ทำงาน
chinese-essencial-in-communication-1-thai-to-train,训练,训练,,xùnliàn,to train,ฝึกซ้อม,🏃,我们需要**训练**。 (Wǒmen xūyào **xùnliàn**.) เราจำเป็นต้อง**ฝึกซ้อม**
chinese-essencial-in-communication-1-thai-mr,先生,先生,,xiānsheng,Mr,คุณผู้ชาย,👨,"**先生**，您贵姓？ (**Xiānsheng**), nín guìxìng? **คุณผู้ชาย** ท่านนามสกุลอะไร?"
chinese-essencial-in-communication-1-thai-lately-recently,最近,最近,,zuìjìn,"lately, recently","เมื่อเร็วๆ นี้, ช่วงนี้",🗓️,我**最近**很忙。 (Wǒ **zuìjìn**) hěn máng. **ช่วงนี้**ฉันยุ่งมาก
chinese-essencial-in-communication-1-thai-to-get-up,起床,起床,,qǐ chuáng,to get up,ตื่นนอน,⏰,我早上六点**起床**。 (Wǒ zǎoshang liù diǎn **qǐ chuáng**.) ฉัน**ตื่นนอน**ตอนหกโมงเช้า
chinese-essencial-in-communication-1-thai-later-after,以后,以后,,yǐhòu,"later, after","หลังจากนี้, ภายหลัง",⏭️,**以后**我们再见。 (**Yǐhòu**) wǒmen zàijiàn. **หลังจากนี้**เราเจอกันใหม่
chinese-essencial-in-communication-1-thai-to-sleep,睡觉,睡觉,,shuìjiào,to sleep,นอน,😴,我**要**睡觉。 (Wǒ **yào** shuìjiào.) ฉัน**อยาก**นอน
chinese-essencial-in-communication-1-thai-such-so,这么,这么,,zhème,"such, so","เช่นนี้, ขนาดนี้",😮,你**这么**高！ (Nǐ **zhème**) gāo! คุณ**สูงขนาดนี้**เลย!
chinese-essencial-in-communication-1-thai-to-go-to-work,上班,上班,,shàngbān,to go to work,เข้างาน,🏢,我七点**上班**。 (Wǒ qī diǎn **shàngbān**.) ฉัน**เข้างาน**ตอนเจ็ดโมง
chinese-essencial-in-communication-1-thai-to-work-overtime,加班,加班,,jiābān,to work overtime,ทำงานล่วงเวลา,🌙,我今天需要**加班**。 (Wǒ jīntiān xūyào **jiābān**.) วันนี้ฉันต้อง**ทำงานล่วงเวลา**
chinese-essencial-in-communication-1-thai-head-office,总公司,总公司,,zǒnggōngsī,head office,สำนักงานใหญ่,🏛️,我在**总公司**工作。 (Wǒ zài **zǒnggōngsī**) gōngzuò. ฉันทำงานที่**สำนักงานใหญ่**
chinese-essencial-in-communication-1-thai-measure-word,项,项,,xiàng,(measure word),"รายการ, หัวข้อ (ลักษณะนาม)",🏆,这是一**项**任务。 (Zhè shì yí **xiàng**) rènwu. นี่คือภารกิจหนึ่ง**รายการ**
chinese-essencial-in-communication-1-thai-important,重要,重要,,zhòngyào,important,สำคัญ,⭐,这件事很**重要**。 (Zhè jiàn shì hěn **zhòngyào**.) เรื่องนี้**สำคัญ**มาก
chinese-essencial-in-communication-1-thai-not-sure,不一定,不一定,,bù yīdìng,not sure,ไม่แน่,❓,"**不一定**，明天再说。 (**Bù yīdìng**), míngtiān zài shuō. **ไม่แน่** พรุ่งนี้ค่อยว่ากัน"
chinese-essencial-in-communication-1-thai-sometimes-occasionally,有时候,有时候,,yǒushíhou,"sometimes, occasionally","บางครั้ง, เป็นครั้งคราว",⏳,我**有时候**很忙。 (Wǒ **yǒushíhou**) hěn máng. **บางครั้ง**ฉันก็ยุ่งมาก
chinese-essencial-in-communication-1-thai-friday,星期五,星期五,,Xīngqīwǔ,Friday,วันศุกร์,🥳,我**星期五**休息。 (Wǒ **Xīngqīwǔ**) xiūxi. ฉันพักผ่อน**วันศุกร์**
